filename       ,  rec_packets,  lost_packets,  lost_rate(%)
af520505_all-stat/0825statistics/----2698860.dump.split87.20182-20184,3,23,86.79245283
af520505_all-stat/0825statistics/----2698860.dump.split93.20454-20473,20,131,86.46864686
af520505_all-stat/0825statistics/----2698860.dump.split142.23817-23880,64,387,85.71428571
af520505_all-stat/0825statistics/2699196.dump.split1.38791-38794,4,27,85.71428571
af520505_all-stat/0825statistics/----2698860.dump.split144.23973-24039,67,394,85.37378115
af520505_all-stat/0825statistics/----2698860.dump.split167.25143-25145,3,19,84.44444444
af520505_all-stat/0825statistics/----2698860.dump.split130.22850-22855,6,35,84.3373494
af520505_all-stat/0825statistics/----2698860.dump.split128.22676-22766,91,438,82.71954674
af520505_all-stat/0825statistics/----2698860.dump.split141.23501-23775,275,1171,80.95402696
af520505_all-stat/0825statistics/----2698860.dump.split0.1-486,486,1971,80.2034588
af520505_all-stat/0825statistics/----2698860.dump.split140.23292-23459,168,682,80.18812463
af520505_all-stat/0825statistics/----2698860.dump.split169.25232-25233,2,10,80
af520505_all-stat/0825statistics/----2698860.dump.split204.26786-26787,2,10,80
af520505_all-stat/0825statistics/----2698860.dump.split79.19428-19825,398,1545,79.49575508
af520505_all-stat/0825statistics/----2698860.dump.split78.18763-19386,624,2192,77.82709036
af520505_all-stat/0825statistics/----2698860.dump.split98.20710-21171,462,1615,77.73766546
af520505_all-stat/0825statistics/----2698860.dump.split206.26875-26877,3,10,74.07407407
af520505_all-stat/0825statistics/----2698860.dump.split35.11271-11389,119,303,71.71597633
af520505_all-stat/0825statistics/----2698860.dump.split42.13062-13173,112,271,70.66492829
af520505_all-stat/0825statistics/----2698860.dump.split38.11854-11979,126,303,70.54714785
af520505_all-stat/0825statistics/----2698860.dump.split28.9117-9469,353,829,70.10570825
af520505_all-stat/0825statistics/----2698860.dump.split43.13215-13572,358,835,69.96229577
af520505_all-stat/0825statistics/----2698860.dump.split9.3182-3309,128,294,69.58579882
af520505_all-stat/0825statistics/----2698860.dump.split32.10272-10635,364,831,69.51066499
af520505_all-stat/0825statistics/----2698860.dump.split39.12021-12390,370,837,69.31677019
af520505_all-stat/0825statistics/----2698860.dump.split44.13614-13743,130,291,69.03914591
af520505_all-stat/0825statistics/----2698860.dump.split29.9511-9643,133,294,68.77192982
af520505_all-stat/0825statistics/----2698860.dump.split30.9685-10061,377,828,68.68519287
af520505_all-stat/0825statistics/----2698860.dump.split15.5052-5180,129,284,68.68198307
af520505_all-stat/0825statistics/----2698860.dump.split33.10677-10797,121,266,68.64516129
af520505_all-stat/0825statistics/----2698860.dump.split37.11567-11812,246,537,68.53860881
af520505_all-stat/0825statistics/----2698860.dump.split31.10103-10230,128,279,68.46625767
af520505_all-stat/0825statistics/----2698860.dump.split8.2760-3140,381,822,68.30078936
af520505_all-stat/0825statistics/----2698860.dump.split26.8523-8894,372,796,68.12152332
af520505_all-stat/0825statistics/----2698860.dump.split45.13785-14168,384,816,67.97167847
af520505_all-stat/0825statistics/----2698860.dump.split24.7997-8331,335,709,67.87936812
af520505_all-stat/0825statistics/----2698860.dump.split25.8373-8481,109,227,67.45913819
af520505_all-stat/0825statistics/----2698860.dump.split12.3988-4379,392,812,67.41386467
af520505_all-stat/0825statistics/----2698860.dump.split46.14210-14784,575,1168,66.9916834
af520505_all-stat/0825statistics/----2698860.dump.split34.10839-11229,391,794,66.97595951
af520505_all-stat/0825statistics/----2698860.dump.split17.5674-5810,137,278,66.90734055
af520505_all-stat/0825statistics/----2698860.dump.split41.12619-13020,402,793,66.33207863
af520505_all-stat/0825statistics/----2698860.dump.split14.4600-5010,411,802,66.08982283
af520505_all-stat/0825statistics/----2698860.dump.split40.12432-12577,146,284,65.96980256
af520505_all-stat/0825statistics/----2698860.dump.split6.2107-2530,424,819,65.86248492
af520505_all-stat/0825statistics/----2698860.dump.split10.3351-3760,410,787,65.72025052
af520505_all-stat/0825statistics/----2698860.dump.split2.764-1172,409,769,65.25243954
af520505_all-stat/0825statistics/----2698860.dump.split27.8936-9075,140,261,65.00622665
af520505_all-stat/0825statistics/----2698860.dump.split5.1933-2065,133,247,64.91458607
af520505_all-stat/0825statistics/----2698860.dump.split16.5222-5632,411,761,64.90405117
af520505_all-stat/0825statistics/----2698860.dump.split13.4421-4558,138,254,64.7133758
af520505_all-stat/0825statistics/----2698860.dump.split7.2572-2718,147,269,64.58583433
af520505_all-stat/0825statistics/----2698860.dump.split36.11431-11525,95,172,64.29906542
af520505_all-stat/0825statistics/----2698860.dump.split11.3802-3946,145,261,64.20664207
af520505_all-stat/0825statistics/----2698860.dump.split18.5852-6287,436,779,64.08885232
af520505_all-stat/0825statistics/----2698860.dump.split21.7076-7233,158,261,62.21692491
af520505_all-stat/0825statistics/----2698860.dump.split20.6572-7034,463,756,61.99261993
af520505_all-stat/0825statistics/----2698860.dump.split3.1214-1362,149,241,61.71574904
af520505_all-stat/0825statistics/----2698860.dump.split22.7275-7735,461,737,61.49353358
af520505_all-stat/0825statistics/----2698860.dump.split47.14826-14995,170,266,60.93928981
af520505_all-stat/0825statistics/----2698860.dump.split4.1404-1891,488,707,59.1384358
af520505_all-stat/0825statistics/----2698860.dump.split23.7777-7955,179,257,58.87743414
af520505_all-stat/0825statistics/----2698860.dump.split1.528-722,195,258,56.89084895
af520505_all-stat/0825statistics/----2698860.dump.split236.31996-32079,84,104,55.17241379
af520505_all-stat/0825statistics/----2698860.dump.split19.6329-6530,202,243,54.54545455
af520505_all-stat/0825statistics/----2698860.dump.split138.23204-23205,2,3,54.54545455
af520505_all-stat/0825statistics/====2698126.dump.split0.1-1863,1863,2003,51.80395707
af520505_all-stat/0825statistics/----2698860.dump.split235.31130-31954,825,876,51.48398472
af520505_all-stat/0825statistics/----2698860.dump.split234.29263-31088,1826,1787,49.45343849
af520505_all-stat/0825statistics/----2698860.dump.split233.28410-29221,812,771,48.68961162
af520505_all-stat/0825statistics/----2698860.dump.split48.15037-15787,629,583,48.08247423
af520505_all-stat/0825statistics/=3==2698860.dump.split0.1-14080,14080,12901,47.81424309
af520505_all-stat/0825statistics/----2698860.dump.split180.25722-25723,2,2,44.44444444
af520505_all-stat/0825statistics/----2698860.dump.split51.17236-17389,125,89,41.49184149
af520505_all-stat/0825statistics/=3==2698860.dump.split1.14122-15149,1028,696,40.3595245
af520505_all-stat/0825statistics/=3==2698860.dump.split7.18638-18956,319,210,39.66005666
af520505_all-stat/0825statistics/----2698860.dump.split50.16239-17194,776,489,38.64085342
af520505_all-stat/0825statistics/=3==2698860.dump.split4.16327-16664,338,212,38.51044505
af520505_all-stat/0825statistics/=3==2698860.dump.split3.15585-16285,701,437,38.38383838
af520505_all-stat/0825statistics/=3==2698860.dump.split6.17866-18596,731,446,37.87685775
af520505_all-stat/0825statistics/----2698860.dump.split49.15829-16197,309,185,37.41152679
af520505_all-stat/0825statistics/=3==2698860.dump.split2.15191-15543,353,208,37.04363313
af520505_all-stat/0825statistics/2636244.dump.split1.2369-2371,3,2,36.36363636
af520505_all-stat/0825statistics/=3==2698860.dump.split5.16706-17824,1119,639,36.33778789
af520505_all-stat/0825statistics/=3==2698860.dump.split8.18998-19871,874,302,25.66935827
af520505_all-stat/0825statistics/~~~~2673704.dump.split0.1-1527,1527,489,24.24993801
af520505_all-stat/0825statistics/=3==2698860.dump.split9.19913-21450,1538,237,13.34835258
af520505_all-stat/0825statistics/~~~~2695524.dump.split1.24837-25829,993,146,12.81263712
af520505_all-stat/0825statistics/~~~~2693006.dump.split0.1-34,34,3,8
af520505_all-stat/0825statistics/2593218.dump.split2.3740-10149,6410,553,7.941408774
af520505_all-stat/0825statistics/2698852.dump.split2.129075-186404,57330,4894,7.865069225
af520505_all-stat/0825statistics/2539040.dump.split2.100143-113378,13236,849,6.027475063
af520505_all-stat/0825statistics/2595182.dump.split1.45978-107831,61854,3505,5.362648123
af520505_all-stat/0825statistics/2570496.dump.split0.1-36,36,2,5.194805195
af520505_all-stat/0825statistics/2056962.dump.split1.667-1257,299,15,4.769475358
af520505_all-stat/0825statistics/2600228.dump.split0.1-7401,7401,347,4.47828612
af520505_all-stat/0825statistics/2600228.dump.split2.8123-29305,21183,951,4.296460277
af520505_all-stat/0825statistics/2661762.dump.split0.1-4382,4382,195,4.259967231
af520505_all-stat/0825statistics/2600228.dump.split3.29347-30208,862,35,3.899721448
af520505_all-stat/0825statistics/2593386.dump.split1.3404-4785,1382,51,3.557725846
af520505_all-stat/0825statistics/2052902.dump.split2.1305-1895,300,11,3.531300161
af520505_all-stat/0825statistics/2634260.dump.split2.45692-66897,21206,743,3.385042939
af520505_all-stat/0825statistics/2634260.dump.split1.8616-45650,37035,1285,3.353296538
af520505_all-stat/0825statistics/2600228.dump.split1.7443-8081,639,22,3.325774754
af520505_all-stat/0825statistics/2505412.dump.split4.158661-158719,59,2,3.25203252
af520505_all-stat/0825statistics/2040782.dump.split2.1306-1896,300,10,3.220611916
af520505_all-stat/0825statistics/1832614.dump.split3.1938-2528,300,10,3.220611916
af520505_all-stat/0825statistics/2056962.dump.split3.1930-2520,301,9,2.898550725
af520505_all-stat/0825statistics/2696846.dump.split0.1-33,33,1,2.898550725
af520505_all-stat/0825statistics/2700422.dump.split1.9262-9573,312,9,2.799377916
af520505_all-stat/0825statistics/2689154.dump.split0.1-36,36,1,2.666666667
af520505_all-stat/0825statistics/2595182.dump.split0.1-45936,45936,1254,2.657314502
af520505_all-stat/0825statistics/2634260.dump.split0.1-8574,8574,234,2.656524947
af520505_all-stat/0825statistics/2614458.dump.split2.5636-5745,110,3,2.643171806
af520505_all-stat/0825statistics/2032124.dump.split2.1306-1896,299,8,2.601626016
af520505_all-stat/0825statistics/2697398.dump.split1.5263-5299,37,1,2.597402597
af520505_all-stat/0825statistics/2030696.dump.split3.1938-2528,301,8,2.584814216
af520505_all-stat/0825statistics/2031510.dump.split2.1306-1896,301,8,2.584814216
af520505_all-stat/0825statistics/2032124.dump.split3.1938-2528,301,8,2.584814216
af520505_all-stat/0825statistics/2030696.dump.split2.1306-1896,302,8,2.576489533
af520505_all-stat/0825statistics/2638574.dump.split0.1-6398,6398,163,2.484188067
af520505_all-stat/0825statistics/2699122.dump.split1.111-189,79,2,2.45398773
af520505_all-stat/0825statistics/1940226.dump.split1.673-1263,298,7,2.291325696
af520505_all-stat/0825statistics/=3==2698860.dump.split10.21492-29776,8285,193,2.276346052
af520505_all-stat/0825statistics/2593386.dump.split0.1-3362,3362,76,2.210266104
af520505_all-stat/0825statistics/2698438.dump.split1.58-146,89,2,2.18579235
af520505_all-stat/0825statistics/2699056.dump.split1.60-241,182,4,2.144772118
af520505_all-stat/0825statistics/2638574.dump.split1.6440-16822,10383,225,2.120940755
af520505_all-stat/0825statistics/2056962.dump.split2.1299-1888,298,6,1.97044335
af520505_all-stat/0825statistics/74307.dump.split2.1307-1897,299,6,1.963993453
af520505_all-stat/0825statistics/1940226.dump.split3.1937-2527,299,6,1.963993453
af520505_all-stat/0825statistics/2676112.dump.split0.1-54,54,1,1.801801802
af520505_all-stat/0825statistics/2040782.dump.split3.1938-2528,297,5,1.652892562
af520505_all-stat/0825statistics/2055714.dump.split1.674-1264,298,5,1.647446458
af520505_all-stat/0825statistics/2030800.dump.split3.1936-2526,298,5,1.647446458
af520505_all-stat/0825statistics/2030696.dump.split1.674-1264,300,5,1.636661211
af520505_all-stat/0825statistics/2052580.dump.split2.1306-1896,300,5,1.636661211
af520505_all-stat/0825statistics/2700460.dump.split1.9779-9901,123,2,1.593625498
af520505_all-stat/0825statistics/2602052.dump.split0.1-651,651,10,1.511715797
af520505_all-stat/0825statistics/2052580.dump.split4.2570-3160,297,4,1.326699834
af520505_all-stat/0825statistics/2700248.dump.split0.1-521,521,7,1.324503311
af520505_all-stat/0825statistics/2030800.dump.split2.1304-1894,298,4,1.32231405
af520505_all-stat/0825statistics/2031510.dump.split3.1938-2528,298,4,1.32231405
af520505_all-stat/0825statistics/2058012.dump.split2.1306-1896,298,4,1.32231405
af520505_all-stat/0825statistics/2052902.dump.split3.1937-2527,299,4,1.317957166
af520505_all-stat/0825statistics/1940226.dump.split2.1305-1895,299,4,1.317957166
af520505_all-stat/0825statistics/2666048.dump.split2.116078-117398,1321,14,1.048296518
af520505_all-stat/0825statistics/1938650.dump.split1.674-1264,298,3,0.995024876
af520505_all-stat/0825statistics/2058012.dump.split3.1938-2528,300,3,0.988467875
af520505_all-stat/0825statistics/2673704.dump.split1.1569-24794,23226,227,0.967872599
af520505_all-stat/0825statistics/2699156.dump.split1.58518-80375,21858,195,0.88421339
af520505_all-stat/0825statistics/2667116.dump.split0.1-116,116,1,0.85106383
af520505_all-stat/0825statistics/2539136.dump.split1.50136-115110,64975,520,0.793947676
af520505_all-stat/0825statistics/2693036.dump.split2.276-7157,6882,55,0.792792793
af520505_all-stat/0825statistics/2641308.dump.split2.12232-12860,629,5,0.788022065
af520505_all-stat/0825statistics/2695524.dump.split2.25871-61481,35611,275,0.766304878
af520505_all-stat/0825statistics/2695524.dump.split0.1-24795,24795,186,0.744550968
af520505_all-stat/0825statistics/2614458.dump.split0.1-4601,4601,34,0.73346996
af520505_all-stat/0825statistics/2543568.dump.split1.14725-15683,959,7,0.724262804
af520505_all-stat/0825statistics/2491322.dump.split0.1-39699,39699,274,0.685454113
af520505_all-stat/0825statistics/74307.dump.split5.3203-3793,297,2,0.667779633
af520505_all-stat/0825statistics/2049210.dump.split3.1931-2521,297,2,0.667779633
af520505_all-stat/0825statistics/74307.dump.split3.1939-2529,298,2,0.665557404
af520505_all-stat/0825statistics/2030800.dump.split1.674-1262,298,2,0.665557404
af520505_all-stat/0825statistics/2040782.dump.split1.674-1264,298,2,0.665557404
af520505_all-stat/0825statistics/2031510.dump.split1.674-1264,298,2,0.665557404
af520505_all-stat/0825statistics/2052580.dump.split3.1938-2528,299,2,0.663349917
af520505_all-stat/0825statistics/2031510.dump.split4.2570-3155,299,2,0.663349917
af520505_all-stat/0825statistics/2647016.dump.split0.1-1801,1801,12,0.661703888
af520505_all-stat/0825statistics/1940226.dump.split4.2569-3159,300,2,0.661157025
af520505_all-stat/0825statistics/2538914.dump.split0.1-40677,40677,267,0.652102236
af520505_all-stat/0825statistics/2543568.dump.split2.15725-17715,1991,13,0.648540783
af520505_all-stat/0825statistics/1938650.dump.split3.1938-2545,309,2,0.642054575
af520505_all-stat/0825statistics/2587966.dump.split0.1-3905,3905,25,0.636051393
af520505_all-stat/0825statistics/2618614.dump.split0.1-49453,49453,315,0.632930468
af520505_all-stat/0825statistics/2698428.dump.split2.34217-67561,33345,206,0.613981491
af520505_all-stat/0825statistics/2538914.dump.split1.40719-105845,65127,368,0.561870663
af520505_all-stat/0825statistics/2698428.dump.split3.67603-102742,35140,198,0.560295428
af520505_all-stat/0825statistics/2662264.dump.split1.4974-5872,899,5,0.552791598
af520505_all-stat/0825statistics/2543568.dump.split3.17757-18903,1147,6,0.520156047
af520505_all-stat/0825statistics/2517776.dump.split0.1-7183,7183,37,0.512429887
af520505_all-stat/0825statistics/2517776.dump.split1.7225-13180,5956,30,0.501127537
af520505_all-stat/0825statistics/2522132.dump.split1.52364-73738,21375,106,0.49344785
af520505_all-stat/0825statistics/2647016.dump.split4.7844-14453,6610,32,0.48174633
af520505_all-stat/0825statistics/2696920.dump.split2.2331-7515,5185,25,0.479800403
af520505_all-stat/0825statistics/2539136.dump.split3.156225-160794,4570,21,0.457366874
af520505_all-stat/0825statistics/2602052.dump.split1.693-949,257,1,0.386847195
af520505_all-stat/0825statistics/2694598.dump.split0.1-52605,52605,196,0.371201576
af520505_all-stat/0825statistics/2618880.dump.split1.14807-29349,14543,53,0.363100743
af520505_all-stat/0825statistics/2032124.dump.split1.674-1264,296,1,0.336134454
af520505_all-stat/0825statistics/2055714.dump.split2.1306-1896,297,1,0.335008375
af520505_all-stat/0825statistics/2056962.dump.split4.2562-3152,297,1,0.335008375
af520505_all-stat/0825statistics/2049210.dump.split2.1306-1889,297,1,0.335008375
af520505_all-stat/0825statistics/2697398.dump.split3.8787-14743,5957,20,0.334588038
